x,y,date
263765.514280914,6620156.67619632,2021-05-05 13:47:41
263765.514280914,6620156.67619632,2021-05-05 13:49:45
263771.304754116,6620151.73167773,2021-05-05 13:51:49
263770.545300322,6620178.13171238,2021-05-05 13:53:53
263773.211782785,6620171.15166269,2021-05-05 13:55:57
263773.211782785,6620171.15166269,2021-05-05 13:58:01
263781.000399963,6620163.84750008,2021-05-05 14:00:05
263825.277354119,6620213.41496999,2021-05-05 14:02:16
263762.763538991,6620173.0411026,2021-05-05 14:11:33
263762.763538991,6620173.0411026,2021-05-05 14:13:50
263762.763538991,6620173.0411026,2021-05-05 14:15:55
263759.984195114,6620163.94912712,2021-05-05 14:18:03
263759.984195114,6620163.94912712,2021-05-05 14:20:11
263759.984195114,6620163.94912712,2021-05-05 14:22:19
263779.424498572,6620173.77337746,2021-05-05 14:24:27
263779.424498572,6620173.77337746,2021-05-05 14:26:35
263779.424498572,6620173.77337746,2021-05-05 14:28:40
263779.424498572,6620173.77337746,2021-05-05 14:30:45
263779.424498572,6620173.77337746,2021-05-05 14:32:50
263750.035137771,6620149.61617103,2021-05-05 14:34:54
263784.996892502,6620172.52748772,2021-05-05 14:36:59
263753.722308962,6620166.80194087,2021-05-05 14:39:48
263753.722308962,6620166.80194087,2021-05-05 14:41:52
263753.722308962,6620166.80194087,2021-05-05 14:43:56
263753.722308962,6620166.80194087,2021-05-05 14:46:03
263792.342342694,6620172.50934832,2021-05-05 15:21:25
263792.342342694,6620172.50934832,2021-05-05 15:23:33
263792.342342694,6620172.50934832,2021-05-05 15:25:41
263792.342342694,6620172.50934832,2021-05-05 15:27:49
263751.639538347,6620159.78744597,2021-05-05 15:29:59
263777.623317179,6620173.88735204,2021-05-05 15:32:48
263777.623317179,6620173.88735204,2021-05-05 15:34:56
263777.623317179,6620173.88735204,2021-05-05 15:37:05
263752.554283097,6620163.52602964,2021-05-05 15:48:31
263752.554283097,6620163.52602964,2021-05-05 15:50:39
263752.554283097,6620163.52602964,2021-05-05 15:52:47
263752.554283097,6620163.52602964,2021-05-05 15:54:55
263752.554283097,6620163.52602964,2021-05-05 15:57:03
263769.046414422,6620163.37565901,2021-05-05 15:59:11
263769.046414422,6620163.37565901,2021-05-05 16:01:19
263817.319728124,6620184.10498935,2021-05-05 16:03:24
263785.482441568,6620178.41479111,2021-05-05 21:02:10
263775.526545649,6620168.43698653,2021-05-05 21:04:10
263790.76673903,6620209.2338109,2021-05-05 21:06:29
263836.661258809,6620208.45166333,2021-05-05 21:08:29
263883.420897214,6620229.38918597,2021-05-05 21:10:29
263917.796452554,6620286.84180928,2021-05-05 21:12:58
263924.669788575,6620311.53075434,2021-05-05 21:15:28
263927.996807384,6620354.30967106,2021-05-05 21:17:57
263942.580913828,6620377.61771384,2021-05-05 21:19:58
263966.867336067,6620377.42188424,2021-05-05 21:22:26
264005.245417808,6620386.49638372,2021-05-05 21:24:56
264015.27778886,6620390.5518679,2021-05-05 21:27:24
264004.358153622,6620408.21459657,2021-05-05 21:29:24
264016.135216972,6620413.05305781,2021-05-05 21:31:53
264043.915638625,6620463.66558466,2021-05-05 21:34:21
264038.631848294,6620470.3642333,2021-05-05 21:36:22
